TT	PID	AT	CT	IO_D	WT	RT	TRT
20126	1496	19823	177	0	126	114	303
20173	1197	14745	56	0	5372	89	5428
20179	1490	19647	206	0	326	32	532
20184	1510	20123	11	0	50	50	61
20217	1494	19817	186	0	214	198	400
20232	400	1349	220	32	18663	896	18883
20289	1472	19202	97	0	990	982	1087
20302	904	9201	236	0	10865	1211	11101
20303	1507	20085	206	0	12	4	218
20352	1505	19952	49	0	351	351	400
20383	1504	19914	28	0	441	62	469
20401	388	1307	197	13	18897	1736	19094
20422	1487	19586	194	0	642	53	836
20460	1506	19982	168	0	310	119	478
20532	1423	18398	214	0	1920	321	2134
20567	1518	20344	158	0	65	57	223
20585	1322	16648	123	0	3814	3416	3937
20608	1512	20175	178	0	255	247	433
20665	1516	20288	53	0	324	320	377
20729	1503	19902	144	0	683	602	827
20746	1521	20420	172	0	154	50	326
20749	1448	18741	217	0	1791	496	2008
20764	1539	20756	8	0	0	0	8
20765	1537	20743	21	0	1	1	22
20839	1530	20561	166	0	112	104	278
20841	1089	12795	41	0	8005	322	8046
20892	1532	20568	147	0	177	42	324
20924	1524	20496	187	0	241	233	428
20931	1542	20798	132	0	1	1	133
20981	741	6414	245	0	14322	333	14567
21000	1540	20769	108	0	123	123	231
21003	1088	12795	175	0	8033	579	8208
21108	1346	17144	111	0	3853	275	3964
21128	1534	20655	129	0	344	58	473
21138	1228	15204	217	0	5717	1771	5934
21150	1549	20982	152	0	16	4	168
21156	1445	18722	34	0	2400	591	2434
21162	1099	12975	195	0	7992	998	8187
21196	1441	18619	86	0	2491	2173	2577
21212	1435	18546	58	0	2608	257	2666
21322	1522	20432	169	0	721	182	890
21355	1552	20990	147	0	218	206	365
21395	1369	17379	182	0	3834	818	4016
21398	954	10211	226	0	10961	2864	11187
21471	1397	17909	160	0	3402	429	3562
21557	1553	21143	194	0	220	212	414
21573	1557	21199	174	0	200	196	374
21583	1566	21325	104	0	154	146	258
21627	873	8757	238	0	12632	235	12870
21639	1573	21447	187	0	5	1	192
21659	1072	12459	109	0	9091	270	9200
21717	1569	21365	118	0	234	218	352
21758	1567	21343	95	0	320	316	415
21834	683	4945	262	0	16627	353	16889
21852	1218	15057	216	0	6579	1405	6795
21866	1585	21693	108	0	65	65	173
21920	1457	18886	203	0	2831	425	3034
21929	1598	21894	21	0	14	14	35
21955	1119	13187	115	0	8653	101	8768
21990	1170	14149	174	0	7667	214	7841
21999	1597	21870	40	0	89	85	129
22008	1588	21733	76	0	199	199	275
22029	1579	21613	161	0	255	239	416
22082	1599	21898	79	0	105	101	184
22125	1467	19023	128	0	2974	68	3102
22140	1606	22042	89	0	9	1	98
22152	1608	22052	27	0	73	73	100
22176	1586	21709	144	0	323	83	467
22210	983	10662	243	0	11305	378	11548
22229	1620	22205	23	0	1	1	24
22230	1565	21323	77	0	830	118	907
22234	1584	21684	149	0	401	128	550
22297	1613	22126	55	0	116	108	171
22307	1603	21952	131	0	224	224	355
22310	1619	22187	80	0	43	43	123
22419	1628	22262	118	0	39	35	157
22427	1060	12259	222	0	9946	235	10168
22467	1631	22277	162	0	28	20	190
22493	1515	20256	189	0	2048	906	2237
22501	1617	22173	179	0	149	137	328
22586	1616	22166	163	0	257	253	420
22613	1641	22414	120	0	79	79	199
22654	1042	11866	242	0	10546	41	10788
22681	1640	22402	172	0	107	99	279
22708	1632	22285	114	0	309	241	423
22773	1581	21658	59	0	1056	509	1115
